o_lon,o_lat,d_lon,d_lat,volume
-111.943604,40.587762,-111.90103,40.587971,271.0
-111.943604,40.587762,-111.93876,40.630427,269.0
-111.943604,40.587762,-111.907451,40.592344,204.0
-111.943604,40.587762,-111.899113,40.558973,203.0
-111.9423,40.624038,-111.90103,40.587971,180.0
-111.9423,40.624038,-111.93876,40.630427,178.0
-111.943604,40.587762,-111.901884,40.620828,169.0
-111.943604,40.587762,-111.913648,40.554715,156.0
-111.943604,40.587762,-111.902804,40.610814,138.0
-111.943604,40.587762,-111.934408,40.607297,137.0
-111.933868,40.616707,-111.90103,40.587971,136.0
-111.9423,40.624038,-111.907451,40.592344,135.0
-111.933868,40.616707,-111.93876,40.630427,135.0
-111.9423,40.624038,-111.899113,40.558973,135.0
-111.943739,40.60952,-111.90103,40.587971,134.0
-111.943739,40.60952,-111.93876,40.630427,133.0
-111.938753,40.552997,-111.90103,40.587971,124.0
-111.938753,40.552997,-111.93876,40.630427,123.0
-111.9423,40.624038,-111.901884,40.620828,112.0
-111.9423,40.624038,-111.913648,40.554715,103.0
-111.933868,40.616707,-111.907451,40.592344,103.0
-111.934408,40.607297,-111.90103,40.587971,102.0
-111.933868,40.616707,-111.899113,40.558973,102.0
-111.934408,40.607297,-111.93876,40.630427,101.0
-111.943739,40.60952,-111.907451,40.592344,101.0
-111.943739,40.60952,-111.899113,40.558973,101.0
-111.944074,40.606326,-111.90103,40.587971,95.0
-111.944074,40.606326,-111.93876,40.630427,95.0
-111.938753,40.552997,-111.907451,40.592344,94.0
-111.943762,40.562247,-111.90103,40.587971,93.0
-111.938753,40.552997,-111.899113,40.558973,93.0
-111.943762,40.562247,-111.93876,40.630427,92.0
-111.934352,40.57687,-111.90103,40.587971,92.0
-111.9423,40.624038,-111.902804,40.610814,91.0
-111.934352,40.57687,-111.93876,40.630427,91.0
-111.9423,40.624038,-111.934408,40.607297,91.0
-111.93876,40.630427,-111.90103,40.587971,88.0
-111.90103,40.587971,-111.93876,40.630427,87.0
-111.929153,40.555761,-111.90103,40.587971,87.0
-111.929153,40.555761,-111.93876,40.630427,86.0
-111.933868,40.616707,-111.901884,40.620828,85.0
-111.943739,40.60952,-111.901884,40.620828,84.0
-111.943604,40.587762,-111.944074,40.606326,84.0
-111.943605,40.584092,-111.90103,40.587971,84.0
-111.943605,40.584092,-111.93876,40.630427,83.0
-111.943375,40.616454,-111.90103,40.587971,81.0
-111.943375,40.616454,-111.93876,40.630427,80.0
-111.943604,40.587762,-111.900748,40.562521,79.0
-111.943604,40.587762,-111.929192,40.626782,79.0
-111.933868,40.616707,-111.913648,40.554715,78.0
-111.943604,40.587762,-111.933963,40.567876,78.0
-111.938753,40.552997,-111.901884,40.620828,77.0
-111.943739,40.60952,-111.913648,40.554715,77.0
-111.934408,40.607297,-111.907451,40.592344,77.0
-111.934408,40.607297,-111.899113,40.558973,77.0
-111.934202,40.630776,-111.90103,40.587971,72.0
-111.944074,40.606326,-111.907451,40.592344,72.0
-111.944074,40.606326,-111.899113,40.558973,72.0
-111.934202,40.630776,-111.93876,40.630427,71.0
-111.938753,40.552997,-111.913648,40.554715,71.0
-111.943762,40.562247,-111.907451,40.592344,70.0
-111.943762,40.562247,-111.899113,40.558973,70.0
-111.934352,40.57687,-111.907451,40.592344,69.0
-111.933868,40.616707,-111.902804,40.610814,69.0
-111.933868,40.616707,-111.934408,40.607297,69.0
-111.934352,40.57687,-111.899113,40.558973,69.0
-111.943739,40.60952,-111.902804,40.610814,68.0
-111.943739,40.60952,-111.934408,40.607297,68.0
-111.90103,40.587971,-111.907451,40.592344,66.0
-111.899113,40.558973,-111.90103,40.587971,66.0
-111.90103,40.587971,-111.899113,40.558973,66.0
-111.93876,40.630427,-111.907451,40.592344,66.0
-111.929153,40.555761,-111.907451,40.592344,66.0
-111.93876,40.630427,-111.899113,40.558973,66.0
-111.899113,40.558973,-111.93876,40.630427,66.0
-111.929153,40.555761,-111.899113,40.558973,65.0
-111.934408,40.607297,-111.901884,40.620828,64.0
-111.943604,40.587762,-111.934352,40.57687,64.0
-111.943604,40.587762,-111.910059,40.625783,63.0
-111.938753,40.552997,-111.902804,40.610814,63.0
-111.938753,40.552997,-111.934408,40.607297,63.0
-111.943605,40.584092,-111.907451,40.592344,63.0
-111.943605,40.584092,-111.899113,40.558973,63.0
-111.943604,40.587762,-111.911824,40.577722,63.0
