o_lon,o_lat,d_lon,d_lat,volume
-111.943604,40.587762,-111.933868,40.616707,62.0
-111.9423,40.624038,-111.943604,40.587762,61.0
-111.943604,40.587762,-111.9423,40.624038,61.0
-111.943375,40.616454,-111.907451,40.592344,61.0
-111.943375,40.616454,-111.899113,40.558973,61.0
-111.943604,40.587762,-111.934202,40.630776,60.0
-111.944074,40.606326,-111.901884,40.620828,59.0
-111.934408,40.607297,-111.913648,40.554715,59.0
-111.90661,40.60596,-111.90103,40.587971,59.0
-111.943604,40.587762,-111.924114,40.567177,58.0
-111.943762,40.562247,-111.901884,40.620828,58.0
-111.90661,40.60596,-111.93876,40.630427,58.0
-111.934352,40.57687,-111.901884,40.620828,57.0
-111.943604,40.587762,-111.943375,40.616454,56.0
-111.943604,40.587762,-111.936589,40.553565,56.0
-111.911824,40.577722,-111.90103,40.587971,55.0
-111.9423,40.624038,-111.944074,40.606326,55.0
-111.901884,40.620828,-111.90103,40.587971,55.0
-111.90103,40.587971,-111.901884,40.620828,55.0
-111.911824,40.577722,-111.93876,40.630427,55.0
-111.944074,40.606326,-111.913648,40.554715,55.0
-111.93876,40.630427,-111.901884,40.620828,54.0
-111.901884,40.620828,-111.93876,40.630427,54.0
-111.929153,40.555761,-111.901884,40.620828,54.0
-111.934202,40.630776,-111.907451,40.592344,54.0
-111.934202,40.630776,-111.899113,40.558973,54.0
-111.943762,40.562247,-111.913648,40.554715,54.0
-111.934352,40.57687,-111.913648,40.554715,53.0
-111.9423,40.624038,-111.900748,40.562521,52.0
-111.9423,40.624038,-111.929192,40.626782,52.0
-111.943605,40.584092,-111.901884,40.620828,52.0
-111.934408,40.607297,-111.902804,40.610814,52.0
-111.9423,40.624038,-111.933963,40.567876,52.0
-111.90103,40.587971,-111.913648,40.554715,51.0
-111.943375,40.616454,-111.901884,40.620828,50.0
-111.93876,40.630427,-111.913648,40.554715,50.0
-111.929153,40.555761,-111.913648,40.554715,50.0
-111.899113,40.558973,-111.907451,40.592344,50.0
-111.944074,40.606326,-111.902804,40.610814,48.0
-111.944074,40.606326,-111.934408,40.607297,48.0
-111.923428,40.584054,-111.90103,40.587971,48.0
-111.933963,40.567876,-111.90103,40.587971,48.0
-111.943605,40.584092,-111.913648,40.554715,48.0
-111.923428,40.584054,-111.93876,40.630427,48.0
-111.933963,40.567876,-111.93876,40.630427,48.0
-111.943762,40.562247,-111.902804,40.610814,47.0
-111.943762,40.562247,-111.934408,40.607297,47.0
-111.934352,40.57687,-111.902804,40.610814,47.0
-111.934352,40.57687,-111.934408,40.607297,47.0
-111.933868,40.616707,-111.943604,40.587762,46.0
-111.943375,40.616454,-111.913648,40.554715,46.0
-111.943739,40.60952,-111.943604,40.587762,46.0
-111.943604,40.587762,-111.943739,40.60952,46.0
-111.934202,40.630776,-111.901884,40.620828,45.0
-111.902804,40.610814,-111.90103,40.587971,45.0
-111.90103,40.587971,-111.902804,40.610814,45.0
-111.90103,40.587971,-111.934408,40.607297,45.0
-111.93876,40.630427,-111.902804,40.610814,44.0
-111.902804,40.610814,-111.93876,40.630427,44.0
-111.93876,40.630427,-111.934408,40.607297,44.0
-111.929153,40.555761,-111.902804,40.610814,44.0
-111.929153,40.555761,-111.934408,40.607297,44.0
-111.90661,40.60596,-111.907451,40.592344,44.0
-111.90661,40.60596,-111.899113,40.558973,44.0
-111.938753,40.552997,-111.943604,40.587762,42.0
-111.943605,40.584092,-111.902804,40.610814,42.0
-111.943604,40.587762,-111.938753,40.552997,42.0
-111.943605,40.584092,-111.934408,40.607297,42.0
-111.943604,40.587762,-111.943605,40.584092,42.0
-111.9423,40.624038,-111.934352,40.57687,42.0
-111.933868,40.616707,-111.944074,40.606326,42.0
-111.9423,40.624038,-111.910059,40.625783,42.0
-111.911824,40.577722,-111.907451,40.592344,42.0
-111.911824,40.577722,-111.899113,40.558973,42.0
-111.943739,40.60952,-111.944074,40.606326,41.0
-111.9423,40.624038,-111.911824,40.577722,41.0
-111.934202,40.630776,-111.913648,40.554715,41.0
-111.901884,40.620828,-111.907451,40.592344,41.0
-111.901884,40.620828,-111.899113,40.558973,41.0
-111.899113,40.558973,-111.901884,40.620828,41.0
-111.943375,40.616454,-111.902804,40.610814,41.0
-111.943375,40.616454,-111.934408,40.607297,41.0
-111.9423,40.624038,-111.933868,40.616707,41.0
-111.933868,40.616707,-111.900748,40.562521,40.0
-111.9423,40.624038,-111.934202,40.630776,40.0
-111.933868,40.616707,-111.929192,40.626782,40.0
-111.921418,40.591609,-111.90103,40.587971,39.0
-111.933868,40.616707,-111.933963,40.567876,39.0
-111.943739,40.60952,-111.900748,40.562521,39.0
-111.943739,40.60952,-111.929192,40.626782,39.0
-111.921418,40.591609,-111.93876,40.630427,39.0
-111.943739,40.60952,-111.933963,40.567876,39.0
-111.9423,40.624038,-111.924114,40.567177,39.0
-111.938753,40.552997,-111.944074,40.606326,38.0
-111.899113,40.558973,-111.913648,40.554715,38.0
-111.924114,40.567177,-111.90103,40.587971,37.0
-111.9423,40.624038,-111.943375,40.616454,37.0
-111.9423,40.624038,-111.936589,40.553565,37.0
-111.924114,40.567177,-111.93876,40.630427,37.0
-111.913648,40.554715,-111.90103,40.587971,37.0
-111.934202,40.630776,-111.902804,40.610814,37.0
-111.934202,40.630776,-111.934408,40.607297,37.0
-111.90661,40.60596,-111.901884,40.620828,36.0
-111.924502,40.617134,-111.90103,40.587971,36.0
-111.913648,40.554715,-111.93876,40.630427,36.0
-111.943604,40.587762,-111.902492,40.57568,36.0
-111.938753,40.552997,-111.900748,40.562521,36.0
-111.923428,40.584054,-111.907451,40.592344,36.0
-111.938753,40.552997,-111.929192,40.626782,36.0
-111.933963,40.567876,-111.907451,40.592344,36.0
-111.923428,40.584054,-111.899113,40.558973,36.0
-111.933963,40.567876,-111.899113,40.558973,36.0
-111.924502,40.617134,-111.93876,40.630427,36.0
-111.938753,40.552997,-111.933963,40.567876,36.0
-111.934408,40.607297,-111.943604,40.587762,35.0
-111.911824,40.577722,-111.901884,40.620828,35.0
-111.902804,40.610814,-111.907451,40.592344,34.0
-111.90661,40.60596,-111.913648,40.554715,34.0
-111.902804,40.610814,-111.899113,40.558973,34.0
-111.899113,40.558973,-111.902804,40.610814,34.0
-111.899113,40.558973,-111.934408,40.607297,34.0
-111.944074,40.606326,-111.943604,40.587762,33.0
-111.933868,40.616707,-111.934352,40.57687,32.0
-111.911824,40.577722,-111.913648,40.554715,32.0
-111.943762,40.562247,-111.943604,40.587762,32.0
-111.933868,40.616707,-111.910059,40.625783,32.0
-111.943604,40.587762,-111.908054,40.616174,32.0
-111.943604,40.587762,-111.943762,40.562247,32.0
-111.943739,40.60952,-111.934352,40.57687,32.0
-111.901884,40.620828,-111.913648,40.554715,32.0
-111.934408,40.607297,-111.944074,40.606326,32.0
-111.933868,40.616707,-111.911824,40.577722,31.0
-111.943739,40.60952,-111.910059,40.625783,31.0
-111.934352,40.57687,-111.943604,40.587762,31.0
-111.943739,40.60952,-111.911824,40.577722,31.0
-111.933868,40.616707,-111.9423,40.624038,31.0
-111.943739,40.60952,-111.933868,40.616707,31.0
-111.9423,40.624038,-111.943739,40.60952,30.0
-111.943739,40.60952,-111.9423,40.624038,30.0
-111.933868,40.616707,-111.934202,40.630776,30.0
-111.90103,40.587971,-111.943604,40.587762,30.0
-111.923428,40.584054,-111.901884,40.620828,30.0
-111.933963,40.567876,-111.901884,40.620828,30.0
-111.934408,40.607297,-111.900748,40.562521,30.0
-111.93876,40.630427,-111.943604,40.587762,30.0
-111.934408,40.607297,-111.929192,40.626782,30.0
-111.943604,40.587762,-111.929153,40.555761,30.0
-111.929153,40.555761,-111.943604,40.587762,30.0
-111.943739,40.60952,-111.934202,40.630776,30.0
-111.921418,40.591609,-111.907451,40.592344,30.0
-111.90661,40.60596,-111.902804,40.610814,30.0
-111.90661,40.60596,-111.934408,40.607297,30.0
-111.921418,40.591609,-111.899113,40.558973,30.0
-111.934408,40.607297,-111.933963,40.567876,29.0
-111.933868,40.616707,-111.924114,40.567177,29.0
-111.938753,40.552997,-111.934352,40.57687,29.0
-111.938753,40.552997,-111.910059,40.625783,29.0
-111.943535,40.568001,-111.90103,40.587971,29.0
-111.943739,40.60952,-111.924114,40.567177,29.0
-111.943762,40.562247,-111.944074,40.606326,29.0
-111.938753,40.552997,-111.911824,40.577722,29.0
-111.943535,40.568001,-111.93876,40.630427,29.0
-111.943605,40.584092,-111.943604,40.587762,28.0
-111.934352,40.57687,-111.944074,40.606326,28.0
-111.938753,40.552997,-111.933868,40.616707,28.0
-111.911824,40.577722,-111.902804,40.610814,28.0
-111.911824,40.577722,-111.934408,40.607297,28.0
-111.9423,40.624038,-111.938753,40.552997,28.0
-111.938753,40.552997,-111.9423,40.624038,28.0
-111.933868,40.616707,-111.943375,40.616454,28.0
-111.9423,40.624038,-111.943605,40.584092,28.0
-111.933868,40.616707,-111.936589,40.553565,28.0
-111.902804,40.610814,-111.901884,40.620828,28.0
-111.901884,40.620828,-111.902804,40.610814,28.0
-111.924114,40.567177,-111.907451,40.592344,28.0
-111.901884,40.620828,-111.934408,40.607297,28.0
-111.944074,40.606326,-111.900748,40.562521,28.0
-111.944074,40.606326,-111.929192,40.626782,28.0
-111.924114,40.567177,-111.899113,40.558973,28.0
-111.923428,40.584054,-111.913648,40.554715,28.0
-111.943739,40.60952,-111.943375,40.616454,28.0
-111.933963,40.567876,-111.913648,40.554715,28.0
-111.943739,40.60952,-111.936589,40.553565,28.0
-111.943375,40.616454,-111.943604,40.587762,28.0
-111.913648,40.554715,-111.907451,40.592344,28.0
-111.944074,40.606326,-111.933963,40.567876,27.0
-111.938753,40.552997,-111.934202,40.630776,27.0
-111.913648,40.554715,-111.899113,40.558973,27.0
-111.943604,40.587762,-111.921418,40.591609,27.0
-111.924502,40.617134,-111.907451,40.592344,27.0
-111.924502,40.617134,-111.899113,40.558973,27.0
-111.90103,40.587971,-111.944074,40.606326,27.0
-111.943762,40.562247,-111.900748,40.562521,27.0
-111.943762,40.562247,-111.929192,40.626782,27.0
-111.93876,40.630427,-111.944074,40.606326,27.0
-111.929153,40.555761,-111.944074,40.606326,27.0
-111.943762,40.562247,-111.933963,40.567876,27.0
-111.934352,40.57687,-111.900748,40.562521,27.0
-111.943604,40.587762,-111.901834,40.584029,27.0
-111.934352,40.57687,-111.929192,40.626782,27.0
-111.938753,40.552997,-111.924114,40.567177,27.0
-111.934352,40.57687,-111.933963,40.567876,26.0
-111.943605,40.584092,-111.944074,40.606326,26.0
-111.902804,40.610814,-111.913648,40.554715,26.0
-111.90103,40.587971,-111.900748,40.562521,26.0
-111.90103,40.587971,-111.929192,40.626782,26.0
-111.929192,40.626782,-111.90103,40.587971,26.0
-111.938753,40.552997,-111.943375,40.616454,26.0
-111.93876,40.630427,-111.900748,40.562521,26.0
-111.93876,40.630427,-111.929192,40.626782,25.0
-111.938753,40.552997,-111.936589,40.553565,25.0
-111.929192,40.626782,-111.93876,40.630427,25.0
-111.929153,40.555761,-111.900748,40.562521,25.0
-111.90103,40.587971,-111.933963,40.567876,25.0
-111.929153,40.555761,-111.929192,40.626782,25.0
-111.93876,40.630427,-111.933963,40.567876,25.0
