o_lon,o_lat,d_lon,d_lat,volume
-111.953264,33.431703,-111.935703,33.432692,203.0
-111.935703,33.432692,-111.953264,33.431703,203.0
-111.904649,33.330724,-111.889489,33.330196,201.0
-111.889489,33.330196,-111.904649,33.330724,201.0
-111.935703,33.432692,-111.922084,33.437415,184.0
-111.922084,33.437415,-111.935703,33.432692,184.0
-111.919688,33.357061,-111.905766,33.357321,180.0
-111.905766,33.357321,-111.919688,33.357061,180.0
-111.935627,33.404554,-111.919998,33.405324,177.0
-111.919998,33.405324,-111.935627,33.404554,177.0
-111.905766,33.357321,-111.889987,33.35803,171.0
-111.889987,33.35803,-111.905766,33.357321,171.0
-111.904259,33.38034,-111.889564,33.379455,170.0
-111.889564,33.379455,-111.904259,33.38034,170.0
-111.919745,33.310115,-111.905162,33.309603,166.0
-111.905162,33.309603,-111.919745,33.310115,166.0
-111.934361,33.309796,-111.919745,33.310115,156.0
-111.919745,33.310115,-111.934361,33.309796,156.0
-111.919998,33.405324,-111.90491,33.402348,154.0
-111.90491,33.402348,-111.919998,33.405324,154.0
-111.919646,33.380512,-111.904259,33.38034,144.0
-111.904259,33.38034,-111.919646,33.380512,144.0
-111.90491,33.402348,-111.890005,33.402982,143.0
-111.890005,33.402982,-111.90491,33.402348,143.0
-111.919656,33.330684,-111.904649,33.330724,139.0
-111.904649,33.330724,-111.919656,33.330684,139.0
-111.952123,33.312338,-111.934361,33.309796,135.0
-111.934361,33.309796,-111.952123,33.312338,135.0
-111.905162,33.309603,-111.890418,33.311525,134.0
-111.890418,33.311525,-111.905162,33.309603,134.0
-111.974995,33.437433,-111.953264,33.431703,125.0
-111.953264,33.431703,-111.974995,33.437433,125.0
-111.934022,33.380084,-111.919646,33.380512,122.0
-111.919646,33.380512,-111.934022,33.380084,122.0
-111.905162,33.309603,-111.904649,33.330724,110.0
-111.904649,33.330724,-111.905162,33.309603,110.0
-111.936202,33.331193,-111.919656,33.330684,108.0
-111.919656,33.330684,-111.936202,33.331193,108.0
-111.953809,33.40603,-111.935627,33.404554,102.0
-111.935627,33.404554,-111.953809,33.40603,102.0
-111.972912,33.379746,-111.953906,33.380715,102.0
-111.953906,33.380715,-111.972912,33.379746,102.0
-111.933922,33.357549,-111.919688,33.357061,99.0
-111.919688,33.357061,-111.933922,33.357549,99.0
-111.95172,33.328362,-111.936202,33.331193,96.0
-111.936202,33.331193,-111.95172,33.328362,96.0
-111.974628,33.357308,-111.953941,33.35969,94.0
-111.953941,33.35969,-111.974628,33.357308,94.0
-111.889987,33.35803,-111.889564,33.379455,92.0
-111.889564,33.379455,-111.889987,33.35803,92.0
-111.934361,33.309796,-111.936202,33.331193,91.0
-111.936202,33.331193,-111.934361,33.309796,91.0
-111.934361,33.309796,-111.905162,33.309603,83.0
-111.905162,33.309603,-111.934361,33.309796,83.0
-111.953264,33.431703,-111.922084,33.437415,75.0
-111.922084,33.437415,-111.953264,33.431703,75.0
-111.905162,33.309603,-111.889489,33.330196,74.0
-111.889489,33.330196,-111.905162,33.309603,74.0
-111.936202,33.331193,-111.904649,33.330724,73.0
-111.904649,33.330724,-111.936202,33.331193,73.0
-111.889564,33.379455,-111.890005,33.402982,72.0
-111.890005,33.402982,-111.889564,33.379455,72.0
-111.974693,33.310553,-111.952123,33.312338,71.0
-111.952123,33.312338,-111.974693,33.310553,71.0
-111.952123,33.312338,-111.936202,33.331193,69.0
-111.936202,33.331193,-111.952123,33.312338,69.0
