link_id,tmc,time,speed
"112, 113",110+04151,16:15,49.5
"112, 113",110+04151,16:30,62.9
"112, 113",110+04151,16:45,62.3
"112, 113",110+04151,17:00,60.5
"112, 113",110+04151,17:15,62.7
"112, 113",110+04151,17:30,61.0
"112, 113",110+04151,17:45,62.5
"112, 113",110+04151,18:00,63.9
"112, 113",110+04151,18:15,68.2
"112, 113",110+04151,18:30,68.4
"112, 113",110+04151,18:45,68.8
"112, 113",110+04151,19:00,67.9
"112, 113",110+04151,19:15,67.4
"112, 113",110+04151,19:30,65.7
"112, 113",110+04151,19:45,56.7
"112, 113",110+04151,20:00,49.1
"112, 113",110+04151,20:15,60.1
"112, 113",110+04151,20:30,64.9
"112, 113",110+04151,20:45,63.3
"112, 113",110+04151,21:00,64.9
"112, 113",110+04151,21:15,65.7
"112, 113",110+04151,21:30,64.2
"112, 113",110+04151,21:45,66.8
"112, 113",110+04151,22:00,68.9
"112, 113",110+04151,22:15,69.5
"112, 113",110+04151,22:30,69.1
"112, 113",110+04151,22:45,69.3
"112, 113",110+04151,23:00,69.0
"112, 113",110+04151,23:15,68.9
"112, 113",110+04151,23:30,66.1
"112, 113",110+04151,23:45,66.3
"131, 101, 102, 105",110+04152,00:00,70.0
"131, 101, 102, 105",110+04152,00:15,68.5
"131, 101, 102, 105",110+04152,00:30,67.2
"131, 101, 102, 105",110+04152,00:45,68.9
"131, 101, 102, 105",110+04152,01:00,66.0
"131, 101, 102, 105",110+04152,01:15,67.7
"131, 101, 102, 105",110+04152,01:30,67.5
"131, 101, 102, 105",110+04152,01:45,69.5
"131, 101, 102, 105",110+04152,02:00,65.7
"131, 101, 102, 105",110+04152,02:15,71.5
"131, 101, 102, 105",110+04152,02:30,68.5
"131, 101, 102, 105",110+04152,02:45,70.3
"131, 101, 102, 105",110+04152,03:00,69.3
"131, 101, 102, 105",110+04152,03:15,69.9
"131, 101, 102, 105",110+04152,03:30,70.2
"131, 101, 102, 105",110+04152,03:45,70.1
"131, 101, 102, 105",110+04152,04:00,69.3
"131, 101, 102, 105",110+04152,04:15,69.1
"131, 101, 102, 105",110+04152,04:30,69.5
"131, 101, 102, 105",110+04152,04:45,67.9
"131, 101, 102, 105",110+04152,05:00,65.1
"131, 101, 102, 105",110+04152,05:15,50.5
"131, 101, 102, 105",110+04152,05:30,45.7
"131, 101, 102, 105",110+04152,05:45,41.7
"131, 101, 102, 105",110+04152,06:00,39.5
"131, 101, 102, 105",110+04152,06:15,37.9
"131, 101, 102, 105",110+04152,06:30,31.8
"131, 101, 102, 105",110+04152,06:45,37.6
"131, 101, 102, 105",110+04152,07:00,34.2
"131, 101, 102, 105",110+04152,07:15,35.6
"131, 101, 102, 105",110+04152,07:30,38.0
"131, 101, 102, 105",110+04152,07:45,35.3
"131, 101, 102, 105",110+04152,08:00,37.5
"131, 101, 102, 105",110+04152,08:15,39.4
"131, 101, 102, 105",110+04152,08:30,36.5
"131, 101, 102, 105",110+04152,08:45,43.5
"131, 101, 102, 105",110+04152,09:00,57.6
"131, 101, 102, 105",110+04152,09:15,63.4
"131, 101, 102, 105",110+04152,09:30,64.5
"131, 101, 102, 105",110+04152,09:45,64.2
"131, 101, 102, 105",110+04152,10:00,65.0
"131, 101, 102, 105",110+04152,10:15,61.6
"131, 101, 102, 105",110+04152,10:30,63.6
"131, 101, 102, 105",110+04152,10:45,60.8
"131, 101, 102, 105",110+04152,11:00,62.7
"131, 101, 102, 105",110+04152,11:15,62.4
"131, 101, 102, 105",110+04152,11:30,61.0
"131, 101, 102, 105",110+04152,11:45,63.5
"131, 101, 102, 105",110+04152,12:00,61.7
"131, 101, 102, 105",110+04152,12:15,56.8
"131, 101, 102, 105",110+04152,12:30,15.6
"131, 101, 102, 105",110+04152,12:45,14.9
"131, 101, 102, 105",110+04152,13:00,15.5
"131, 101, 102, 105",110+04152,13:15,28.7
"131, 101, 102, 105",110+04152,13:30,36.6
"131, 101, 102, 105",110+04152,13:45,36.4
"131, 101, 102, 105",110+04152,14:00,28.0
"131, 101, 102, 105",110+04152,14:15,17.1
"131, 101, 102, 105",110+04152,14:30,22.3
"131, 101, 102, 105",110+04152,14:45,22.5
"131, 101, 102, 105",110+04152,15:00,24.5
"131, 101, 102, 105",110+04152,15:15,30.5
"131, 101, 102, 105",110+04152,15:30,39.7
"131, 101, 102, 105",110+04152,15:45,35.0
"131, 101, 102, 105",110+04152,16:00,30.9
"131, 101, 102, 105",110+04152,16:15,36.9
"131, 101, 102, 105",110+04152,16:30,38.7
"131, 101, 102, 105",110+04152,16:45,47.1
"131, 101, 102, 105",110+04152,17:00,62.1
"131, 101, 102, 105",110+04152,17:15,59.8
"131, 101, 102, 105",110+04152,17:30,62.7
"131, 101, 102, 105",110+04152,17:45,54.1
"131, 101, 102, 105",110+04152,18:00,38.8
"131, 101, 102, 105",110+04152,18:15,67.5
"131, 101, 102, 105",110+04152,18:30,69.9
"131, 101, 102, 105",110+04152,18:45,69.3
"131, 101, 102, 105",110+04152,19:00,66.8
"131, 101, 102, 105",110+04152,19:15,65.9
"131, 101, 102, 105",110+04152,19:30,43.9
"131, 101, 102, 105",110+04152,19:45,33.3
"131, 101, 102, 105",110+04152,20:00,32.6
"131, 101, 102, 105",110+04152,20:15,32.5
"131, 101, 102, 105",110+04152,20:30,58.9
"131, 101, 102, 105",110+04152,20:45,64.2
"131, 101, 102, 105",110+04152,21:00,66.7
"131, 101, 102, 105",110+04152,21:15,64.9
"131, 101, 102, 105",110+04152,21:30,64.8
"131, 101, 102, 105",110+04152,21:45,66.3
"131, 101, 102, 105",110+04152,22:00,69.4
"131, 101, 102, 105",110+04152,22:15,70.3
"131, 101, 102, 105",110+04152,22:30,67.1
"131, 101, 102, 105",110+04152,22:45,67.4
"131, 101, 102, 105",110+04152,23:00,68.9
"131, 101, 102, 105",110+04152,23:15,66.8
"131, 101, 102, 105",110+04152,23:30,66.7
"131, 101, 102, 105",110+04152,23:45,68.1
23,110+04153,00:00,69.0
23,110+04153,00:15,66.5
23,110+04153,00:30,67.9
23,110+04153,00:45,67.5
23,110+04153,01:00,63.1
23,110+04153,01:15,65.7
23,110+04153,01:30,65.7
23,110+04153,01:45,70.0
23,110+04153,02:00,62.1
23,110+04153,02:15,67.0
23,110+04153,02:30,69.8
23,110+04153,02:45,68.9
23,110+04153,03:00,69.6
23,110+04153,03:15,70.1
23,110+04153,03:30,70.3
23,110+04153,03:45,69.5
23,110+04153,04:00,67.8
23,110+04153,04:15,71.1
23,110+04153,04:30,69.1
23,110+04153,04:45,68.9
23,110+04153,05:00,67.3
23,110+04153,05:15,65.8
23,110+04153,05:30,64.3
23,110+04153,05:45,63.1
23,110+04153,06:00,62.4
23,110+04153,06:15,60.9
23,110+04153,06:30,59.0
23,110+04153,06:45,59.8
23,110+04153,07:00,61.9
23,110+04153,07:15,61.6
23,110+04153,07:30,62.1
23,110+04153,07:45,62.6
23,110+04153,08:00,63.5
23,110+04153,08:15,62.7
23,110+04153,08:30,63.6
23,110+04153,08:45,65.2
23,110+04153,09:00,65.7
23,110+04153,09:15,65.7
23,110+04153,09:30,65.9
23,110+04153,09:45,67.1
23,110+04153,10:00,66.8
23,110+04153,10:15,64.7
23,110+04153,10:30,65.5
23,110+04153,10:45,65.7
23,110+04153,11:00,64.7
23,110+04153,11:15,65.1
23,110+04153,11:30,63.9
23,110+04153,11:45,65.1
23,110+04153,12:00,65.7
23,110+04153,12:15,64.5
23,110+04153,12:30,68.7
23,110+04153,12:45,66.1
23,110+04153,13:00,67.2
23,110+04153,13:15,64.1
23,110+04153,13:30,60.7
23,110+04153,13:45,63.8
23,110+04153,14:00,63.9
23,110+04153,14:15,67.8
23,110+04153,14:30,66.1
23,110+04153,14:45,63.9
23,110+04153,15:00,65.2
23,110+04153,15:15,62.8
23,110+04153,15:30,63.0
23,110+04153,15:45,64.0
23,110+04153,16:00,65.9
23,110+04153,16:15,64.3
23,110+04153,16:30,65.1
23,110+04153,16:45,62.7
23,110+04153,17:00,65.0
23,110+04153,17:15,65.3
23,110+04153,17:30,65.0
23,110+04153,17:45,64.1
23,110+04153,18:00,63.9
23,110+04153,18:15,68.5
23,110+04153,18:30,71.5
23,110+04153,18:45,70.1
23,110+04153,19:00,68.3
23,110+04153,19:15,68.1
23,110+04153,19:30,67.2
23,110+04153,19:45,65.1
23,110+04153,20:00,64.2
23,110+04153,20:15,63.6
23,110+04153,20:30,65.1
23,110+04153,20:45,64.7
23,110+04153,21:00,67.8
23,110+04153,21:15,65.9
23,110+04153,21:30,64.9
23,110+04153,21:45,66.3
23,110+04153,22:00,69.9
23,110+04153,22:15,70.1
23,110+04153,22:30,70.3
23,110+04153,22:45,66.4
23,110+04153,23:00,68.3
23,110+04153,23:15,69.9
23,110+04153,23:30,67.0
23,110+04153,23:45,68.6
83,110+04661,00:00,70.2
83,110+04661,00:15,69.5
83,110+04661,00:30,68.2
83,110+04661,00:45,68.3
83,110+04661,01:00,66.1
83,110+04661,01:15,68.1
83,110+04661,01:30,69.7
83,110+04661,01:45,71.4
83,110+04661,02:00,71.8
83,110+04661,02:15,69.8
83,110+04661,02:30,75.0
83,110+04661,02:45,74.5
83,110+04661,03:00,73.7
83,110+04661,03:15,71.8
83,110+04661,03:30,72.7
83,110+04661,03:45,71.8
83,110+04661,04:00,69.7
83,110+04661,04:15,70.7
83,110+04661,04:30,72.1
83,110+04661,04:45,73.3
83,110+04661,05:00,71.9
83,110+04661,05:15,71.3
83,110+04661,05:30,72.7
83,110+04661,05:45,73.3
83,110+04661,06:00,72.3
83,110+04661,06:15,72.5
83,110+04661,06:30,72.9
83,110+04661,06:45,72.1
83,110+04661,07:00,72.6
83,110+04661,07:15,71.9
83,110+04661,07:30,71.5
83,110+04661,07:45,72.1
83,110+04661,08:00,72.5
83,110+04661,08:15,73.1
83,110+04661,08:30,71.5
83,110+04661,08:45,72.2
83,110+04661,09:00,73.4
83,110+04661,09:15,73.8
83,110+04661,09:30,71.5
83,110+04661,09:45,72.5
83,110+04661,10:00,69.2
83,110+04661,10:15,70.5
83,110+04661,10:30,70.2
83,110+04661,10:45,69.9
83,110+04661,11:00,65.7
83,110+04661,11:15,63.1
83,110+04661,11:30,63.9
83,110+04661,11:45,63.1
83,110+04661,12:00,64.0
83,110+04661,12:15,63.3
83,110+04661,12:30,53.0
83,110+04661,12:45,53.0
83,110+04661,13:00,38.0
83,110+04661,13:15,38.0
83,110+04661,13:30,38.0
83,110+04661,13:45,38.0
83,110+04661,14:00,45.0
83,110+04661,14:15,45.0
83,110+04661,14:30,45.0
83,110+04661,14:45,45.0
83,110+04661,15:00,50.0
83,110+04661,15:15,50.0
83,110+04661,15:30,50.0
83,110+04661,15:45,50.0
83,110+04661,16:00,66.2
83,110+04661,16:15,67.7
83,110+04661,16:30,65.0
83,110+04661,16:45,57.0
83,110+04661,17:00,59.0
83,110+04661,17:15,59.0
83,110+04661,17:30,59.0
83,110+04661,17:45,59.0
83,110+04661,18:00,59.0
83,110+04661,18:15,59.0
83,110+04661,18:30,59.0
83,110+04661,18:45,59.0
83,110+04661,19:00,52.0
83,110+04661,19:15,52.0
83,110+04661,19:30,52.0
83,110+04661,19:45,52.0
83,110+04661,20:00,33.0
83,110+04661,20:15,33.0
83,110+04661,20:30,33.0
83,110+04661,20:45,33.0
83,110+04661,21:00,40.0
83,110+04661,21:15,40.0
83,110+04661,21:30,40.0
83,110+04661,21:45,40.0
83,110+04661,22:00,71.0
83,110+04661,22:15,71.0
83,110+04661,22:30,71.0
83,110+04661,22:45,71.0
83,110+04661,23:00,71.0
83,110+04661,23:15,71.0
83,110+04661,23:30,71.0
83,110+04661,23:45,71.0
"83, 61",110+04662,00:00,70.2
"83, 61",110+04662,00:15,69.9
"83, 61",110+04662,00:30,69.2
"83, 61",110+04662,00:45,67.9
"83, 61",110+04662,01:00,63.4
"83, 61",110+04662,01:15,68.4
"83, 61",110+04662,01:30,70.0
"83, 61",110+04662,01:45,70.1
"83, 61",110+04662,02:00,70.3
"83, 61",110+04662,02:15,70.1
"83, 61",110+04662,02:30,70.6
"83, 61",110+04662,02:45,72.4
"83, 61",110+04662,03:00,74.0
"83, 61",110+04662,03:15,72.7
"83, 61",110+04662,03:30,73.9
"83, 61",110+04662,03:45,71.7
"83, 61",110+04662,04:00,70.7
"83, 61",110+04662,04:15,71.8
"83, 61",110+04662,04:30,72.4
"83, 61",110+04662,04:45,71.3
"83, 61",110+04662,05:00,72.5
"83, 61",110+04662,05:15,71.6
"83, 61",110+04662,05:30,71.7
"83, 61",110+04662,05:45,71.8
"83, 61",110+04662,06:00,72.2
"83, 61",110+04662,06:15,71.0
"83, 61",110+04662,06:30,72.1
"83, 61",110+04662,06:45,71.5
"83, 61",110+04662,07:00,71.1
"83, 61",110+04662,07:15,70.9
"83, 61",110+04662,07:30,70.4
"83, 61",110+04662,07:45,70.6
"83, 61",110+04662,08:00,71.4
"83, 61",110+04662,08:15,72.3
"83, 61",110+04662,08:30,71.5
"83, 61",110+04662,08:45,70.1
"83, 61",110+04662,09:00,70.7
"83, 61",110+04662,09:15,72.3
"83, 61",110+04662,09:30,71.5
"83, 61",110+04662,09:45,71.7
"83, 61",110+04662,10:00,68.5
"83, 61",110+04662,10:15,67.1
"83, 61",110+04662,10:30,68.0
"83, 61",110+04662,10:45,66.3
"83, 61",110+04662,11:00,62.8
"83, 61",110+04662,11:15,62.1
"83, 61",110+04662,11:30,62.9
"83, 61",110+04662,11:45,62.1
"83, 61",110+04662,12:00,63.0
"83, 61",110+04662,12:15,62.5
"83, 61",110+04662,12:30,54.1
"83, 61",110+04662,12:45,52.0
"83, 61",110+04662,13:00,39.3
"83, 61",110+04662,13:15,35.5
"83, 61",110+04662,13:30,32.3
"83, 61",110+04662,13:45,34.7
"83, 61",110+04662,14:00,36.4
"83, 61",110+04662,14:15,36.0
"83, 61",110+04662,14:30,36.1
"83, 61",110+04662,14:45,40.5
"83, 61",110+04662,15:00,45.4
"83, 61",110+04662,15:15,47.1
"83, 61",110+04662,15:30,46.3
"83, 61",110+04662,15:45,46.0
"83, 61",110+04662,16:00,48.2
"83, 61",110+04662,16:15,48.9
"83, 61",110+04662,16:30,58.2
"83, 61",110+04662,16:45,57.1
"83, 61",110+04662,17:00,58.0
"83, 61",110+04662,17:15,58.0
"83, 61",110+04662,17:30,58.0
"83, 61",110+04662,17:45,58.0
"83, 61",110+04662,18:00,58.0
"83, 61",110+04662,18:15,58.5
"83, 61",110+04662,18:30,58.0
"83, 61",110+04662,18:45,61.7
"83, 61",110+04662,19:00,56.3
"83, 61",110+04662,19:15,55.0
"83, 61",110+04662,19:30,53.5
"83, 61",110+04662,19:45,53.0
"83, 61",110+04662,20:00,39.0
"83, 61",110+04662,20:15,38.8
"83, 61",110+04662,20:30,38.2
"83, 61",110+04662,20:45,38.8
"83, 61",110+04662,21:00,43.0
"83, 61",110+04662,21:15,43.5
"83, 61",110+04662,21:30,45.0
"83, 61",110+04662,21:45,45.0
"83, 61",110+04662,22:00,66.0
"83, 61",110+04662,22:15,66.0
"83, 61",110+04662,22:30,66.0
"83, 61",110+04662,22:45,66.0
"83, 61",110+04662,23:00,65.7
"83, 61",110+04662,23:15,61.3
"83, 61",110+04662,23:30,53.7
"83, 61",110+04662,23:45,55.3
46,110+04663,00:00,71.3
46,110+04663,00:15,72.5
46,110+04663,00:30,70.6
46,110+04663,00:45,68.9
46,110+04663,01:00,68.2
46,110+04663,01:15,68.9
46,110+04663,01:30,69.7
46,110+04663,01:45,70.5
46,110+04663,02:00,70.2
46,110+04663,02:15,68.8
46,110+04663,02:30,70.2
46,110+04663,02:45,70.3
46,110+04663,03:00,72.9
46,110+04663,03:15,71.8
46,110+04663,03:30,71.0
46,110+04663,03:45,72.6
46,110+04663,04:00,72.8
46,110+04663,04:15,74.1
46,110+04663,04:30,74.5
46,110+04663,04:45,72.9
46,110+04663,05:00,72.1
46,110+04663,05:15,72.6
46,110+04663,05:30,72.8
46,110+04663,05:45,72.5
46,110+04663,06:00,71.3
46,110+04663,06:15,72.9
46,110+04663,06:30,71.4
46,110+04663,06:45,72.1
46,110+04663,07:00,71.3
46,110+04663,07:15,71.7
46,110+04663,07:30,72.0
46,110+04663,07:45,71.7
46,110+04663,08:00,72.5
46,110+04663,08:15,74.5
46,110+04663,08:30,71.9
46,110+04663,08:45,71.6
46,110+04663,09:00,72.3
46,110+04663,09:15,74.1
46,110+04663,09:30,72.5
46,110+04663,09:45,73.3
46,110+04663,10:00,70.9
46,110+04663,10:15,72.6
46,110+04663,10:30,67.0
46,110+04663,10:45,58.7
46,110+04663,11:00,57.0
46,110+04663,11:15,57.0
46,110+04663,11:30,57.0
46,110+04663,11:45,57.0
46,110+04663,12:00,57.0
46,110+04663,12:15,57.0
46,110+04663,12:30,56.3
46,110+04663,12:45,53.8
46,110+04663,13:00,50.8
46,110+04663,13:15,36.0
46,110+04663,13:30,31.0
46,110+04663,13:45,39.3
46,110+04663,14:00,37.6
46,110+04663,14:15,36.0
46,110+04663,14:30,36.0
46,110+04663,14:45,51.4
46,110+04663,15:00,51.2
46,110+04663,15:15,50.8
46,110+04663,15:30,47.7
46,110+04663,15:45,52.7
46,110+04663,16:00,54.5
46,110+04663,16:15,52.9
46,110+04663,16:30,53.0
46,110+04663,16:45,54.6
46,110+04663,17:00,56.0
46,110+04663,17:15,56.0
46,110+04663,17:30,56.0
46,110+04663,17:45,56.0
46,110+04663,18:00,42.7
46,110+04663,18:15,32.4
46,110+04663,18:30,38.7
46,110+04663,18:45,61.7
46,110+04663,19:00,64.7
46,110+04663,19:15,65.5
46,110+04663,19:30,66.0
46,110+04663,19:45,67.7
46,110+04663,20:00,56.6
46,110+04663,20:15,62.3
46,110+04663,20:30,66.1
46,110+04663,20:45,68.0
46,110+04663,21:00,67.0
46,110+04663,21:15,67.0
46,110+04663,21:30,67.0
46,110+04663,21:45,67.0
46,110+04663,22:00,72.0
46,110+04663,22:15,72.0
46,110+04663,22:30,72.0
46,110+04663,22:45,72.0
46,110+04663,23:00,72.0
46,110+04663,23:15,72.0
46,110+04663,23:30,72.0
46,110+04663,23:45,72.0
13,110+04664,00:00,69.6
13,110+04664,00:15,70.3
13,110+04664,00:30,70.1
13,110+04664,00:45,70.6
13,110+04664,01:00,69.3
13,110+04664,01:15,68.5
13,110+04664,01:30,69.6
13,110+04664,01:45,68.1
13,110+04664,02:00,70.3
13,110+04664,02:15,69.7
13,110+04664,02:30,67.5
13,110+04664,02:45,68.5
13,110+04664,03:00,75.0
13,110+04664,03:15,72.9
13,110+04664,03:30,71.0
13,110+04664,03:45,71.1
13,110+04664,04:00,69.6
13,110+04664,04:15,71.1
13,110+04664,04:30,73.7
13,110+04664,04:45,73.7
13,110+04664,05:00,72.1
13,110+04664,05:15,72.7
13,110+04664,05:30,71.5
13,110+04664,05:45,71.7
13,110+04664,06:00,71.8
13,110+04664,06:15,71.9
13,110+04664,06:30,70.9
13,110+04664,06:45,71.1
13,110+04664,07:00,70.9
13,110+04664,07:15,70.6
13,110+04664,07:30,71.0
13,110+04664,07:45,70.8
13,110+04664,08:00,70.9
13,110+04664,08:15,71.9
13,110+04664,08:30,72.0
13,110+04664,08:45,71.8
13,110+04664,09:00,69.2
13,110+04664,09:15,72.5
13,110+04664,09:30,72.1
13,110+04664,09:45,72.9
13,110+04664,10:00,71.6
13,110+04664,10:15,72.6
13,110+04664,10:30,63.8
13,110+04664,10:45,61.5
13,110+04664,11:00,62.5
13,110+04664,11:15,62.2
13,110+04664,11:30,60.3
13,110+04664,11:45,58.0
13,110+04664,12:00,56.8
13,110+04664,12:15,53.5
13,110+04664,12:30,64.9
13,110+04664,12:45,61.9
13,110+04664,13:00,57.6
13,110+04664,13:15,55.9
13,110+04664,13:30,64.3
13,110+04664,13:45,61.1
13,110+04664,14:00,59.8
13,110+04664,14:15,59.0
13,110+04664,14:30,59.0
13,110+04664,14:45,60.9
13,110+04664,15:00,61.5
13,110+04664,15:15,62.0
13,110+04664,15:30,62.5
13,110+04664,15:45,66.3
13,110+04664,16:00,68.0
13,110+04664,16:15,67.9
13,110+04664,16:30,66.9
13,110+04664,16:45,66.0
13,110+04664,17:00,64.0
13,110+04664,17:15,64.0
13,110+04664,17:30,64.0
13,110+04664,17:45,64.0
13,110+04664,18:00,66.0
13,110+04664,18:15,66.0
13,110+04664,18:30,66.0
13,110+04664,18:45,68.9
13,110+04664,19:00,70.0
13,110+04664,19:15,71.1
13,110+04664,19:30,72.0
13,110+04664,19:45,70.2
13,110+04664,20:00,68.5
13,110+04664,20:15,68.4
13,110+04664,20:30,68.1
13,110+04664,20:45,67.1
13,110+04664,21:00,66.5
13,110+04664,21:15,66.8
13,110+04664,21:30,67.9
13,110+04664,21:45,68.0
13,110+04664,22:00,69.7
13,110+04664,22:15,70.0
13,110+04664,22:30,70.0
13,110+04664,22:45,70.0
13,110+04664,23:00,70.0
13,110+04664,23:15,70.0
13,110+04664,23:30,70.0
13,110+04664,23:45,70.0
120,110-04149,00:00,58.9
120,110-04149,00:15,56.3
120,110-04149,00:30,64.6
120,110-04149,00:45,67.0
120,110-04149,01:00,66.3
120,110-04149,01:15,66.0
120,110-04149,01:30,66.0
120,110-04149,01:45,66.0
120,110-04149,02:00,61.7
120,110-04149,02:15,55.3
120,110-04149,02:30,58.0
120,110-04149,02:45,58.0
120,110-04149,03:00,58.0
120,110-04149,03:15,58.0
120,110-04149,03:30,58.3
120,110-04149,03:45,59.8
120,110-04149,04:00,63.1
120,110-04149,04:15,66.3
120,110-04149,04:30,67.3
120,110-04149,04:45,68.0
120,110-04149,05:00,68.0
120,110-04149,05:15,67.2
120,110-04149,05:30,66.0
120,110-04149,05:45,69.0
120,110-04149,06:00,70.4
120,110-04149,06:15,69.2
120,110-04149,06:30,68.0
120,110-04149,06:45,68.0
120,110-04149,07:00,68.9
120,110-04149,07:15,71.4
120,110-04149,07:30,69.1
120,110-04149,07:45,65.6
120,110-04149,08:00,64.5
120,110-04149,08:15,64.0
120,110-04149,08:30,64.9
120,110-04149,08:45,66.0
120,110-04149,09:00,68.0
120,110-04149,09:15,67.1
120,110-04149,09:30,67.0
120,110-04149,09:45,42.1
120,110-04149,10:00,16.0
120,110-04149,10:15,11.8
120,110-04149,10:30,16.7
120,110-04149,10:45,17.5
120,110-04149,11:00,16.3
120,110-04149,11:15,26.1
120,110-04149,11:30,27.0
120,110-04149,11:45,21.9
