link_id,tmc,time,speed
49,110+04150,00:00,70.5
49,110+04150,00:15,68.6
49,110+04150,00:30,67.5
49,110+04150,00:45,69.0
49,110+04150,01:00,67.7
49,110+04150,01:15,67.9
49,110+04150,01:30,67.4
49,110+04150,01:45,68.7
49,110+04150,02:00,67.1
49,110+04150,02:15,71.5
49,110+04150,02:30,70.8
49,110+04150,02:45,71.5
49,110+04150,03:00,68.8
49,110+04150,03:15,71.5
49,110+04150,03:30,72.7
49,110+04150,03:45,70.3
49,110+04150,04:00,68.5
49,110+04150,04:15,73.2
49,110+04150,04:30,70.1
49,110+04150,04:45,71.5
49,110+04150,05:00,69.3
49,110+04150,05:15,68.7
49,110+04150,05:30,68.1
49,110+04150,05:45,66.1
49,110+04150,06:00,68.3
49,110+04150,06:15,67.7
49,110+04150,06:30,70.6
49,110+04150,06:45,70.4
49,110+04150,07:00,70.1
49,110+04150,07:15,66.7
49,110+04150,07:30,68.7
49,110+04150,07:45,67.9
49,110+04150,08:00,69.2
49,110+04150,08:15,68.5
49,110+04150,08:30,69.3
49,110+04150,08:45,69.1
49,110+04150,09:00,69.3
49,110+04150,09:15,69.1
49,110+04150,09:30,69.9
49,110+04150,09:45,68.9
49,110+04150,10:00,69.7
49,110+04150,10:15,69.7
49,110+04150,10:30,65.3
49,110+04150,10:45,67.3
49,110+04150,11:00,67.1
49,110+04150,11:15,67.7
49,110+04150,11:30,65.4
49,110+04150,11:45,68.3
49,110+04150,12:00,66.5
49,110+04150,12:15,68.3
49,110+04150,12:30,66.9
49,110+04150,12:45,24.6
49,110+04150,13:00,11.1
49,110+04150,13:15,9.5
49,110+04150,13:30,17.2
49,110+04150,13:45,22.8
49,110+04150,14:00,23.9
49,110+04150,14:15,27.3
49,110+04150,14:30,11.4
49,110+04150,14:45,18.1
49,110+04150,15:00,13.9
49,110+04150,15:15,15.3
49,110+04150,15:30,18.9
49,110+04150,15:45,56.1
49,110+04150,16:00,67.7
49,110+04150,16:15,66.7
49,110+04150,16:30,66.1
49,110+04150,16:45,64.6
49,110+04150,17:00,66.3
49,110+04150,17:15,68.3
49,110+04150,17:30,64.4
49,110+04150,17:45,65.8
49,110+04150,18:00,64.8
49,110+04150,18:15,69.5
49,110+04150,18:30,71.7
49,110+04150,18:45,71.3
49,110+04150,19:00,69.7
49,110+04150,19:15,69.8
49,110+04150,19:30,67.5
49,110+04150,19:45,64.2
49,110+04150,20:00,64.0
49,110+04150,20:15,68.4
49,110+04150,20:30,67.5
49,110+04150,20:45,65.3
49,110+04150,21:00,66.2
49,110+04150,21:15,67.0
49,110+04150,21:30,66.0
49,110+04150,21:45,68.0
49,110+04150,22:00,70.6
49,110+04150,22:15,72.6
49,110+04150,22:30,70.9
49,110+04150,22:45,70.0
49,110+04150,23:00,68.5
49,110+04150,23:15,70.3
49,110+04150,23:30,70.7
49,110+04150,23:45,68.0
"112, 113",110+04151,00:00,69.3
"112, 113",110+04151,00:15,67.3
"112, 113",110+04151,00:30,65.3
"112, 113",110+04151,00:45,66.7
"112, 113",110+04151,01:00,65.2
"112, 113",110+04151,01:15,68.3
"112, 113",110+04151,01:30,67.1
"112, 113",110+04151,01:45,67.7
"112, 113",110+04151,02:00,64.5
"112, 113",110+04151,02:15,69.2
"112, 113",110+04151,02:30,68.9
"112, 113",110+04151,02:45,70.1
"112, 113",110+04151,03:00,65.9
"112, 113",110+04151,03:15,69.1
"112, 113",110+04151,03:30,70.7
"112, 113",110+04151,03:45,69.7
"112, 113",110+04151,04:00,69.3
"112, 113",110+04151,04:15,69.7
"112, 113",110+04151,04:30,68.3
"112, 113",110+04151,04:45,67.9
"112, 113",110+04151,05:00,66.7
"112, 113",110+04151,05:15,58.8
"112, 113",110+04151,05:30,59.7
"112, 113",110+04151,05:45,62.6
"112, 113",110+04151,06:00,57.5
"112, 113",110+04151,06:15,49.2
"112, 113",110+04151,06:30,44.7
"112, 113",110+04151,06:45,46.6
"112, 113",110+04151,07:00,34.7
"112, 113",110+04151,07:15,26.8
"112, 113",110+04151,07:30,41.3
"112, 113",110+04151,07:45,47.9
"112, 113",110+04151,08:00,41.2
"112, 113",110+04151,08:15,39.9
"112, 113",110+04151,08:30,52.8
"112, 113",110+04151,08:45,55.3
"112, 113",110+04151,09:00,66.1
"112, 113",110+04151,09:15,66.2
"112, 113",110+04151,09:30,66.9
"112, 113",110+04151,09:45,68.3
"112, 113",110+04151,10:00,67.0
"112, 113",110+04151,10:15,66.4
"112, 113",110+04151,10:30,64.9
"112, 113",110+04151,10:45,64.3
"112, 113",110+04151,11:00,65.4
"112, 113",110+04151,11:15,65.1
"112, 113",110+04151,11:30,65.5
"112, 113",110+04151,11:45,66.0
"112, 113",110+04151,12:00,65.5
"112, 113",110+04151,12:15,65.6
"112, 113",110+04151,12:30,38.5
"112, 113",110+04151,12:45,11.5
"112, 113",110+04151,13:00,11.1
"112, 113",110+04151,13:15,11.6
"112, 113",110+04151,13:30,26.5
"112, 113",110+04151,13:45,21.7
"112, 113",110+04151,14:00,25.9
"112, 113",110+04151,14:15,11.2
"112, 113",110+04151,14:30,16.4
"112, 113",110+04151,14:45,16.6
"112, 113",110+04151,15:00,16.6
"112, 113",110+04151,15:15,19.4
"112, 113",110+04151,15:30,26.9
"112, 113",110+04151,15:45,36.2
"112, 113",110+04151,16:00,52.7
