journey_id,t_unix,latitude,longitude,speed_mph,heading
39f0065e,1722831104,38.647185,-77.284569,57.0,23.0
cccaf19a,1722830469,38.618554,-77.29744,65.0,20.0
2bd302da,1722833273,38.673761,-77.279978,9.0,331.0
c66e04be,1722830795,38.659052,-77.278642,65.0,201.0
dc18537b,1722831731,38.625508,-77.294791,64.0,200.0
d37aaa3f,1722832990,38.62,-77.29,0.0,
488d6283,1722830923,38.669227,-77.261954,74.0,81.0
407a510c,1722833989,38.651448,-77.282164,53.0,23.0
26b0916f,1722833829,38.656552,-77.279225,37.0,285.0
62c372d4,1722833916,38.663015,-77.275606,61.0,30.0
c735604a,1722831717,38.664173,-77.27543,68.0,216.0
1fc446ab,1722832600,38.668819,-77.263659,60.0,81.0
32e270cb,1722830639,38.652956,-77.25741,10.0,147.0
32e270cb,1722832112,38.652896,-77.257352,0.0,140.0
32e270cb,1722831842,38.652896,-77.257352,0.0,140.0
32e270cb,1722831545,38.652896,-77.257352,0.0,140.0
f0c1a340,1722833455,38.619344,-77.295898,0.0,335.0
b25ff5aa,1722832653,38.654335,-77.284795,0.0,117.0
b326c239,1722830742,38.651223,-77.282647,47.0,23.0
652f038b,1722832396,38.641966,-77.266284,17.0,202.0
bb91e3a4,1722833943,38.62,-77.29,14.0,
15886a02,1722830626,38.638563,-77.288897,72.0,17.0
4a3f4703,1722830569,38.67007,-77.255002,74.0,79.0
8e4725be,1722831578,38.643763,-77.286484,71.0,22.0
c2f80b32,1722833591,38.652745,-77.290518,33.0,1.0
1604992a,1722832853,38.626275,-77.29404,69.0,20.0
6efd3295,1722830921,38.665844,-77.272633,69.0,47.0
658b748f,1722833924,38.674208,-77.240355,76.0,240.0
d23eea8f,1722830527,38.650006,-77.260276,33.0,233.0
e44e0228,1722832286,38.655654,-77.280185,67.0,23.0
68ad1615,1722832413,38.648039,-77.284772,64.0,203.0
72c3974f,1722831952,38.632973,-77.291622,56.0,194.0
92c4ebcb,1722830635,38.672832,-77.253386,26.0,320.0
92c4ebcb,1722830980,38.672671,-77.261254,0.0,182.0
adeadf84,1722830979,38.624496,-77.295217,65.0,200.0
