zone_id,road,direction,lane_type,latitude,longitude,bearing
197009,Rt. 3000,West,Off Ramp,38.6557700,-77.2848000,
197213,I-95,North,Off Ramp,38.6706460,-77.2500330,
196797,I-95,North,Normal,38.6514410,-77.2825090,
196495,I-95,North,Normal,38.6568340,-77.2788170,
197309,I-95,North,On Ramp,38.6568340,-77.2788170,
197024,Rt. 3000,East,Normal,38.6557700,-77.2848000,
197088,I-95,North,Off Ramp,38.6568340,-77.2788170,
223305,I-95,South,Off Ramp,38.6711430,-77.2516100,
197584,I-95,South,Normal,38.6714380,-77.2515570,
197063,I-95,South,On Ramp,38.6714380,-77.2515570,
196168,Rt. 3000,East,Off Ramp,38.6557700,-77.2848000,
196740,I-95,South,Normal,38.6711430,-77.2516100,
196182,Rt. 3000,West,Normal,38.6557700,-77.2848000,
237232,I-95,Other,Normal,38.6514370,-77.2825150,
197362,I-95,North,On Ramp,38.6706460,-77.2500330,
196788,I-95,South,Normal,38.6305000,-77.2911000,
197502,I-95,South,Off Ramp,38.6305000,-77.2911000,
196329,I-95,South,On Ramp,38.6305000,-77.2911000,
198045,Unknown,Unknown,Normal,38.6514370,-77.2825150,
198546,Unknown,North,Normal,38.6514410,-77.2825090,
196757,I-95,Unknown,Normal,38.6514370,-77.2825150,
