link_id,SegmentId,osm_way_id
1,20422548_0,20422548
2,20422572_0,20422572
3,20432309_0,20432309
4,537938954_0,537938954
5,20428464_0,20428464
6,20429249_0,20429249
7,20433217_0,20433217
8,20433806_0,20433806
9,20435035_0,20435035
10,20438740_0,20438740
11,20439725_0,20439725
12,20441697_0,20441697
13,51826731_0,51826731
14,51826856_0,51826856
15,51862982_0,51862982
16,61155962_0,61155962
17,61155967_0,61155967
18,175659792_0,175659792
19,175659796_0,175659796
20,636701144_0,636701144
21,687358695_0,687358695
22,20419186_0,20419186
23,51826852_0,51826852
24,20419324_0,20419324
25,537938574_3,537938574
26,20419653_0,20419653
27,871164638_0,871164638
28,20421304_0,20421304
29,20440946_0,20440946
30,932302601_0,932302601
31,952679973_0,952679973
32,966688730_0,966688730
33,20422876_0,20422876
34,128156739_0,128156739
35,20428381_0,20428381
36,292009447_0,292009447
37,20423565_0,20423565
38,870399343_0,870399343
39,20424282_0,20424282
40,121069342_0,121069342
41,20426152_0,20426152
42,874722850_0,874722850
43,20427021_0,20427021
44,51808504_0,51808504
45,20427021_0,20427021
46,436339933_0,436339933
47,307480719_0,307480719
48,20427833_0,20427833
49,870309259_1,870309259
50,945497166_0,945497166
51,686997709_0,686997709
52,20428850_0,20428850
53,291999599_0,291999599
54,870399343_1,870399343
55,931042662_0,931042662
56,930562113_0,930562113
57,206378233_0,206378233
58,20434098_0,20434098
59,687358696_0,687358696
60,20437870_0,20437870
61,636701142_1,636701142
62,636701141_0,636701141
63,51808517_0,51808517
64,20438680_0,20438680
65,870344425_0,870344425
66,291999598_0,291999598
67,687358692_0,687358692
68,537938574_1,537938574
69,20439589_0,20439589
70,537938574_0,537938574
71,121069342_1,121069342
72,20440919_0,20440919
73,687358694_0,687358694
74,20441368_0,20441368
75,932302601_1,932302601
76,537938954_0,537938954
77,51808504_0,51808504
78,51808516_0,51808516
79,686997715_0,686997715
80,51808518_0,51808518
81,51808519_0,51808519
82,636701142_1,636701142
83,636701143_0,636701143
84,51826731_0,51826731
85,51862975_0,51862975
86,175300289_0,175300289
87,121069338_0,121069338
88,51862972_0,51862972
89,51862984_0,51862984
90,61155962_0,61155962
91,51862974_0,51862974
92,51862975_0,51862975
93,51862974_0,51862974
94,51862981_0,51862981
95,687108525_0,687108525
96,121069342_2,121069342
97,175300286_0,175300286
98,124891274_0,124891274
99,537938204_0,537938204
100,930885999_0,930885999
101,128156741_0,128156741
102,175300285_0,175300285
103,175300284_0,175300284
104,829321791_0,829321791
105,175300288_0,175300288
106,175300289_0,175300289
107,175300294_0,175300294
108,436339933_0,436339933
109,175300294_0,175300294
110,537938574_2,537938574
111,870309260_0,870309260
112,307480708_0,307480708
113,870344427_0,870344427
114,307480719_0,307480719
115,636701140_0,636701140
116,636701141_0,636701141
117,636701140_0,636701140
118,347314326_0,347314326
119,870344425_1,870344425
120,930885998_0,930885998
121,347314436_0,347314436
122,636701144_0,636701144
123,636701143_0,636701143
124,877741911_0,877741911
125,872163516_0,872163516
126,686997716_0,686997716
127,872165161_0,872165161
128,687108522_0,687108522
129,874593863_0,874593863
130,870399344_0,870399344
131,870344425_2,870344425
132,876619161_0,876619161
