tmc,road_order,link_ids
110P57793,1,31
110P57791,1,53
110P57833,1,70
110P57877,1,17
110P57831,1,69
110P57875,1,"7, 55"
110P57799,1,59
110P57873,1,11
110P57797,1,58
110P57871,1,"15,  94, 22"
110P57795,1,57
110P57839,1,66
110P57835,1,"68, 110, 25"
110P57789,1,52
110P57823,1,35
110P57867,1,"74, 95, 89, 88"
110P57787,1,"48, 50, 132"
110P57821,1,33
110P57865,1,26
110P57863,1,3
110P57829,1,32
110P57825,1,36
110P57869,1,39
110P57811,1,9
110P57855,1,6
110P57853,1,37
110P57851,1,72
110P57819,1,8
110P57817,1,5
110P57815,1,2
110P57813,1,10
110P57857,1,12
110P57801,1,"51, 124"
110P57845,1,29
110P57843,1,28
110P57841,1,67
110P57809,1,1
110P57807,1,"98, 80, 81"
110P57805,1,99
110P57849,1,75
110P57803,1,56
110P57847,1,30
110P04660,4,20
110+04661,5,83
110P04661,6,83
110+04662,7,"83, 61"
110P04662,8,"62, 115, 47"
110+04663,9,46
110P04663,10,"46, 107, 86"
110-04663,11,13
110+04664,11,13
110N04663,12,"86, 107, 46"
110-04662,13,46
110N04662,14,"47, 115, 62"
110-04661,15,"61, 83"
110N04661,16,83
110-04660,17,83
110N04660,18,20
110P04149,658,49
110+04150,659,49
110P04150,660,49
110+04151,661,"112, 113"
110P04151,662,"65, 119"
110+04152,663,"131, 101, 102, 105"
110P04152,664,"27, 128, 129, 87"
110+04153,665,23
110-04152,861,14
110N04152,862,"40, 71"
110-04151,863,"96, 103, 104, 126, 127"
110N04151,864,"73, 130, 38"
110-04150,865,54
110N04150,866,"79, 125, 34, 100"
110-04149,867,120
110N04149,868,120
