Zone Name,link_id,SegmentId
motorway_link / 20422548 / 1,1,20422548_0
motorway_link / 20422572 / 1,2,20422572_0
motorway_link / 20432309 / 2,3,20432309_0
motorway_link / 537938954 / 1,4,537938954_0
motorway_link / 20428464 / 1,5,20428464_0
motorway_link / 20429249 / 1,6,20429249_0
motorway_link / 20433217 / 1,7,20433217_0
motorway_link / 20433806 / 1,8,20433806_0
motorway_link / 20435035 / 1,9,20435035_0
motorway_link / 20438740 / 1,10,20438740_0
motorway_link / 20439725 / 1,11,20439725_0
motorway_link / 20441697 / 1,12,20441697_0
95 Express Lanes / 51826731 / 1,13,51826731_0
I 95 / 51826856 / 1,14,51826856_0
motorway_link / 51862982 / 1,15,51862982_0
motorway_link / 61155962 / 1,16,61155962_0
motorway_link / 61155967 / 1,17,61155967_0
motorway_link / 175659792 / 1,18,175659792_0
motorway_link / 175659796 / 1,19,175659796_0
95 Express Lanes / 636701144 / 1,20,636701144_0
I 95 / 687358695 / 1,21,687358695_0
motorway_link / 20419186 / 1,22,20419186_0
I 95 / 51826852 / 1,23,51826852_0
motorway_link / 20419324 / 1,24,20419324_0
motorway_link / 20419324 / 1,25,537938574_3
motorway_link / 20419653 / 1,26,20419653_0
I 95 / 871164638 / 1,27,871164638_0
motorway_link / 20421304 / 1,28,20421304_0
motorway_link / 20440946 / 1,29,20440946_0
motorway_link / 932302601 / 1,30,932302601_0
motorway_link / 952679973 / 1,31,952679973_0
motorway_link / 966688730 / 1,32,966688730_0
motorway_link / 20422876 / 1,33,20422876_0
I 95 / 128156739 / 1,34,128156739_0
motorway_link / 20428381 / 1,35,20428381_0
motorway_link / 292009447 / 1,36,292009447_0
motorway_link / 20423565 / 1,37,20423565_0
I 95 / 870399343 / 1,38,870399343_0
motorway_link / 20424282 / 1,39,20424282_0
I 95 / 121069342 / 1,40,121069342_0
motorway_link / 20426152 / 1,41,20426152_0
I 95 / 874722850 / 1,42,874722850_0
motorway_link / 20427021 / 1,43,20427021_0
motorway_link / 51808504 / 1,44,51808504_0
motorway_link / 20427021 / 1,45,20427021_0
95 Express Lanes / 436339933 / 1,46,436339933_0
